,Item,Year,Emission Intensity,yhat1
0,Cereals Exc Rice,31-12-1961,5171.320544,5140.258789
1,Cereals Exc Rice,31-12-1962,5876.892264,5619.749023
2,Cereals Exc Rice,31-12-1963,5699.629154,6109.321777
3,Cereals Exc Rice,31-12-1964,5628.146713,6334.428711
4,Cereals Exc Rice,31-12-1965,5571.215786,6783.06543
5,Cereals Exc Rice,31-12-1966,5949.602314,7212.463379
6,Cereals Exc Rice,31-12-1967,6640.887296,7651.942383
7,Cereals Exc Rice,31-12-1968,7690.846203,7826.821289
8,Cereals Exc Rice,31-12-1969,8078.574412,8246.154297
9,Cereals Exc Rice,31-12-1970,8287.122949,8603.576172
10,Cereals Exc Rice,31-12-1971,9430.283437,8956.630859
11,Cereals Exc Rice,31-12-1972,9226.457878,9044.849609
12,Cereals Exc Rice,31-12-1973,9609.602126,9377.757813
13,Cereals Exc Rice,31-12-1974,8734.562674,9824.367188
14,Cereals Exc Rice,31-12-1975,10373.91477,10590.94922
15,Cereals Exc Rice,31-12-1976,10716.34533,11093.8252
16,Cereals Exc Rice,31-12-1977,11715.5929,11840.25977
17,Cereals Exc Rice,31-12-1978,12790.67034,12596.76172
18,Cereals Exc Rice,31-12-1979,12838.72255,13291.34082
19,Cereals Exc Rice,31-12-1980,13357.30336,13686.19434
20,Cereals Exc Rice,31-12-1981,13831.5921,14324.90332
21,Cereals Exc Rice,31-12-1982,14305.3983,14973.68164
22,Cereals Exc Rice,31-12-1983,15509.80624,15646.59277
23,Cereals Exc Rice,31-12-1984,16221.39632,16204.99707
24,Cereals Exc Rice,31-12-1985,17687.27261,17006.81055
25,Cereals Exc Rice,31-12-1986,18272.05943,17818.6875
26,Cereals Exc Rice,31-12-1987,17502.38532,18640.64648
27,Cereals Exc Rice,31-12-1988,19777.6045,19322.89063
28,Cereals Exc Rice,31-12-1989,20400.49028,20369.09961
29,Cereals Exc Rice,31-12-1990,20823.86873,21425.37695
30,Cereals Exc Rice,31-12-1991,21724.04927,22491.73633
31,Cereals Exc Rice,31-12-1992,21519.32863,23295.20703
32,Cereals Exc Rice,31-12-1993,23387.3796,24161.13477
33,Cereals Exc Rice,31-12-1994,24145.821,25022.40039
34,Cereals Exc Rice,31-12-1995,25780.24925,25893.74609
35,Cereals Exc Rice,31-12-1996,26674.2906,26501.67578
36,Cereals Exc Rice,31-12-1997,26412.20505,27173.10938
37,Cereals Exc Rice,31-12-1998,28324.65321,27509.15625
